task_id,task_code,asset_id,corridor_code,feat_maint_type,feat_department,feat_asset_type,feat_priority,feat_power_block_req,feat_traffic_block_req,feat_speed_restriction_kmph,feat_work_complexity_score,feat_corridor_length_km,feat_corridor_electrified,feat_corridor_double_line,feat_section_span_km,feat_dependency_count,feat_asset_criticality,feat_asset_criticality_score,feat_asset_health_status,feat_asset_health_score,feat_task_urgency,feat_task_urgency_score,feat_days_until_required,feat_is_overdue,feat_task_priority_score,feat_train_traffic_count,feat_high_priority_train_count,feat_high_priority_train_ratio,feat_available_window_count,feat_total_available_window_minutes,feat_window_to_task_duration_ratio,feat_potential_train_conflicts,raw_requested_duration_minutes,target_maintenance_duration,target_asset_risk_priority,target_operational_impact,data_source,generator_version,random_seed
synth-task-00001,SYN-TRD-0001,synth-asset-TRD-871,NDLS-CNB,SUBSTATION_MAINTENANCE,TRD,TRACTION_SUBSTATION,3,1,0,0.0,1.693,440.5,1,1,1.02,0,MEDIUM,2,UNDER_MAINTENANCE,2,HIGH,3,13.01,0,3,11,4,0.364,2,336,1.655,0,203,163.2,56.36,57.24,synthetic,1.0.0,42
synth-task-00002,SYN-SNT-0002,synth-asset-SNT-433,NDLS-CNB,INTERLOCKING_LOGIC_TEST,SNT,INTERLOCKING,1,0,1,0.0,1.668,440.5,1,1,5.84,0,CRITICAL,4,UNDER_MAINTENANCE,2,HIGH,3,9.72,0,5,16,6,0.375,2,472,3.603,7,131,143.6,79.14,91.57,synthetic,1.0.0,42
synth-task-00003,SYN-SNT-0003,synth-asset-SNT-349,NDLS-CNB,AXLE_COUNTER_OVERHAUL,SNT,AXLE_COUNTER,3,0,0,0.0,0.8,440.5,1,1,5.08,0,MEDIUM,2,DEGRADED,3,LOW,1,9.71,0,3,10,4,0.4,1,219,2.607,0,84,79.0,50.64,46.48,synthetic,1.0.0,42
synth-task-00004,SYN-SNT-0004,synth-asset-SNT-292,NDLS-CNB,TRACK_CIRCUIT_CHECK,SNT,TRACK_CIRCUIT,3,0,1,0.0,1.601,440.5,1,1,1.13,0,MEDIUM,2,DEGRADED,3,LOW,1,8.05,0,3,15,3,0.2,2,246,3.514,4,70,55.6,44.92,65.67,synthetic,1.0.0,42
synth-task-00005,SYN-ENGG-0005,synth-asset-ENGG-120,NDLS-CNB,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,20.0,2.135,440.5,1,1,3.56,0,CRITICAL,4,FAILED,5,IMMEDIATE,4,-0.67,1,5,11,3,0.273,2,434,4.214,3,103,94.4,100.0,66.57,synthetic,1.0.0,42
synth-task-00006,SYN-ENGG-0006,synth-asset-ENGG-206,NDLS-CNB,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,30.0,2.264,440.5,1,1,2.95,0,CRITICAL,4,FAILED,5,IMMEDIATE,4,-1.4,1,5,14,5,0.357,2,326,3.432,5,95,83.1,100.0,76.76,synthetic,1.0.0,42
synth-task-00007,SYN-ENGG-0007,synth-asset-ENGG-746,NDLS-CNB,DEEP_SCREENING,ENGG,TRACK,1,0,1,50.0,3.232,440.5,1,1,2.97,1,LOW,1,MAINTENANCE_REQUIRED,4,HIGH,3,8.32,0,5,12,2,0.167,2,444,1.626,2,273,304.2,69.07,79.61,synthetic,1.0.0,42
synth-task-00008,SYN-SNT-0008,synth-asset-SNT-158,NDLS-CNB,TRACK_CIRCUIT_CHECK,SNT,TRACK_CIRCUIT,1,0,1,0.0,1.499,440.5,1,1,3.22,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,HIGH,3,-2.99,1,5,8,2,0.25,2,386,5.361,3,72,35.4,94.7,50.05,synthetic,1.0.0,42
synth-task-00009,SYN-SNT-0009,synth-asset-SNT-197,NDLS-CNB,POINTS_TESTING,SNT,INTERLOCKING,1,0,1,0.0,2.542,440.5,1,1,3.64,2,HIGH,3,MAINTENANCE_REQUIRED,4,HIGH,3,11.65,0,5,8,3,0.375,2,272,2.641,3,103,97.6,81.34,65.32,synthetic,1.0.0,42
synth-task-00010,SYN-TRD-0010,synth-asset-TRD-971,NDLS-CNB,CANTILEVER_ADJUSTMENT,TRD,OHE_MAST,3,1,1,0.0,2.566,440.5,1,1,0.71,0,MEDIUM,2,DEGRADED,3,LOW,1,-4.99,1,3,8,2,0.25,2,456,2.714,2,168,171.6,57.39,56.01,synthetic,1.0.0,42
