task_id,task_code,asset_id,corridor_code,feat_maint_type,feat_department,feat_asset_type,feat_priority,feat_power_block_req,feat_traffic_block_req,feat_speed_restriction_kmph,feat_work_complexity_score,feat_corridor_length_km,feat_corridor_electrified,feat_corridor_double_line,feat_section_span_km,feat_dependency_count,feat_asset_criticality,feat_asset_criticality_score,feat_asset_health_status,feat_asset_health_score,feat_task_urgency,feat_task_urgency_score,feat_days_until_required,feat_is_overdue,feat_task_priority_score,feat_train_traffic_count,feat_high_priority_train_count,feat_high_priority_train_ratio,feat_available_window_count,feat_total_available_window_minutes,feat_window_to_task_duration_ratio,feat_potential_train_conflicts,raw_requested_duration_minutes,target_maintenance_duration,target_asset_risk_priority,target_operational_impact,data_source,generator_version,random_seed
t1111111-1111-1111-1111-111111111111,TAMP-UP-112,a1111111-1111-1111-1111-111111111111,NDLS-CNB,TRACK_TAMPING,ENGG,TRACK,1,0,1,30.0,2.25,440.5,1,1,4.0,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,HIGH,3,5.49,0,5,1,1,1.0,1,210,1.167,1,180,180.0,87.75,65.0,real,,
t2222222-2222-2222-2222-222222222222,SIG-PNT-44,a2222222-2222-2222-2222-222222222222,NDLS-CNB,POINTS_TESTING,SNT,INTERLOCKING,2,0,1,0.0,1.5,440.5,1,1,1.0,0,HIGH,3,OPERATIONAL,1,MEDIUM,2,8.24,0,4,1,1,1.0,1,210,2.333,1,90,90.0,53.25,55.0,real,,
synth-task-00001,SYN-ENGG-0001,synth-asset-ENGG-348,NDLS-CNB,DEEP_SCREENING,ENGG,TRACK,1,0,1,15.0,2.003,440.5,1,1,5.87,0,CRITICAL,4,UNDER_MAINTENANCE,2,HIGH,3,-2.56,1,5,14,3,0.214,3,555,2.22,3,250,282.7,82.87,86.07,synthetic,1.0.0,42
synth-task-00002,SYN-TRD-0002,synth-asset-TRD-396,CSMT-KYN,SUBSTATION_MAINTENANCE,TRD,TRACTION_SUBSTATION,2,1,0,0.0,1.958,54.0,1,1,4.78,1,CRITICAL,4,DEGRADED,3,IMMEDIATE,4,-0.32,1,4,17,4,0.235,1,228,1.101,0,207,225.1,93.66,70.82,synthetic,1.0.0,42
synth-task-00003,SYN-SNT-0003,synth-asset-SNT-554,NDLS-CNB,INTERLOCKING_LOGIC_TEST,SNT,INTERLOCKING,3,0,1,0.0,2.15,440.5,1,1,2.22,1,HIGH,3,OPERATIONAL,1,MEDIUM,2,3.2,0,3,11,5,0.455,1,215,1.443,6,149,104.1,48.29,74.03,synthetic,1.0.0,42
synth-task-00004,SYN-ENGG-0004,synth-asset-ENGG-310,CSMT-KYN,RAIL_GRINDING,ENGG,TRACK,3,0,1,15.0,2.004,54.0,1,1,3.61,0,MEDIUM,2,DEGRADED,3,MEDIUM,2,6.4,0,3,24,3,0.125,1,169,0.786,3,215,216.3,56.49,83.52,synthetic,1.0.0,42
synth-task-00005,SYN-SNT-0005,synth-asset-SNT-501,HWH-DDU,TRACK_CIRCUIT_CHECK,SNT,TRACK_CIRCUIT,2,0,1,0.0,1.644,675.0,1,1,2.74,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,2.68,0,4,14,4,0.286,3,414,5.049,4,82,60.4,88.73,72.75,synthetic,1.0.0,42
synth-task-00006,SYN-ENGG-0006,synth-asset-ENGG-516,CSMT-KYN,RAIL_GRINDING,ENGG,TRACK,3,0,1,20.0,2.98,54.0,1,1,4.35,2,MEDIUM,2,OPERATIONAL,1,MEDIUM,2,1.8,0,3,24,6,0.25,3,405,1.849,6,219,273.1,43.71,97.92,synthetic,1.0.0,42
synth-task-00007,SYN-TRD-0007,synth-asset-TRD-931,MAS-GDR,CONTACT_WIRE_RENEWAL,TRD,OHE_LINE,1,1,1,45.0,3.72,138.0,1,1,3.71,0,HIGH,3,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,2.45,0,5,10,1,0.1,1,190,0.792,1,240,274.5,83.62,67.22,synthetic,1.0.0,42
synth-task-00008,SYN-TRD-0008,synth-asset-TRD-842,HWH-DDU,OHE_INSPECTION,TRD,OHE_LINE,3,1,1,0.0,3.046,675.0,1,1,0.96,1,LOW,1,DEGRADED,3,MEDIUM,2,4.98,0,3,10,3,0.3,3,516,3.463,3,149,141.8,48.27,63.19,synthetic,1.0.0,42
synth-task-00009,SYN-SNT-0009,synth-asset-SNT-956,HWH-DDU,POINTS_TESTING,SNT,INTERLOCKING,1,0,1,0.0,1.631,675.0,1,1,4.5,0,LOW,1,MAINTENANCE_REQUIRED,4,IMMEDIATE,4,5.51,0,5,8,3,0.375,2,432,4.547,3,95,104.6,74.78,59.57,synthetic,1.0.0,42
synth-task-00010,SYN-ENGG-0010,synth-asset-ENGG-896,MAS-GDR,RAIL_FRACTURE_REPAIR,ENGG,TRACK,1,0,1,20.0,3.125,138.0,1,1,5.4,3,CRITICAL,4,FAILED,5,IMMEDIATE,4,-0.22,1,5,8,1,0.125,3,399,2.912,2,137,121.4,100.0,54.99,synthetic,1.0.0,42
synth-task-00011,SYN-SNT-0011,synth-asset-SNT-351,NDLS-CNB,AXLE_COUNTER_OVERHAUL,SNT,AXLE_COUNTER,2,0,0,0.0,0.8,440.5,1,1,1.18,0,CRITICAL,4,MAINTENANCE_REQUIRED,4,HIGH,3,4.69,0,4,10,5,0.5,3,474,5.711,0,83,63.5,84.76,60.22,synthetic,1.0.0,42
